2023 STRAWBERRY SALES REPORT							
							
DATE	#CLAMSHELLS	#BOXES	#KILOS	$/BOX	TOTAL	PRODUCT	TYPE OF PRODUCT
18-Oct-23	424	53	212	 $ 12.00 	 $ 636.00 	 STRAWBERRY 	CONVENTIONAL
21-Oct-23	560	70	280	 $ 13.89 	 $ 972.22 	 STRAWBERRY 	CONVENTIONAL
23-Oct-23	240	30	120	 $ 12.22 	 $ 366.67 	 STRAWBERRY 	CONVENTIONAL
26-Oct-23	1152	144	576	 $ 10.50 	 $ 1,512.00 	 STRAWBERRY 	CONVENTIONAL
28-Oct-23	728	91	364	 $ 10.56 	 $ 960.56 	 STRAWBERRY 	CONVENTIONAL
30-Oct-23	688	86	344	 $ 10.56 	 $ 907.78 	 STRAWBERRY 	CONVENTIONAL
2-Nov-23	1952	244	976	 $ 10.56 	 $ 2,575.56 	 STRAWBERRY 	CONVENTIONAL
3-Nov-23	2400	300	1200	 $ 10.83 	 $ 3,250.00 	 STRAWBERRY 	CONVENTIONAL
5-Nov-23	2320	290	1160	 $ 11.11 	 $ 3,222.22 	 STRAWBERRY 	CONVENTIONAL
7-Nov-23	2800	350	1400	 $ 8.33 	 $ 2,916.67 	 STRAWBERRY 	CONVENTIONAL
8-Nov-23	2560	320	1280	 $ 9.44 	 $ 3,022.22 	 STRAWBERRY 	CONVENTIONAL
10-Nov-23	3040	380	1520	 $ 8.89 	 $ 3,377.78 	 STRAWBERRY 	CONVENTIONAL
11-Jan-23	2800	350	1400	 $ 10.56 	 $ 3,694.44 	 STRAWBERRY 	CONVENTIONAL
12-Nov-23	1840	230	920	 $ 22.22 	 $ 5,111.11 	 STRAWBERRY 	ORGANIC
14-Nov-23	3160	395	1580	 $ 22.78 	 $ 8,997.22 	 STRAWBERRY 	ORGANIC
16-Nov-23	2880	360	1440	 $ 23.33 	 $ 8,400.00 	 STRAWBERRY 	ORGANIC
17-Nov-23	2240	280	1120	 $ 23.33 	 $ 6,533.33 	 STRAWBERRY 	ORGANIC
19-Nov-23	2880	360	1440	 $ 23.33 	 $ 8,400.00 	 STRAWBERRY 	ORGANIC
21-Nov-23	3360	420	1680	 $ 23.33 	 $ 9,800.00 	 STRAWBERRY 	ORGANIC
22-Nov-23	2000	250	1000	 $ 22.78 	 $ 5,694.44 	 STRAWBERRY 	ORGANIC
24-Nov-23	3040	380	1520	 $ 23.06 	 $ 8,761.11 	 STRAWBERRY 	ORGANIC
26-Nov-23	2880	360	1440	 $ 23.06 	 $ 8,300.00 	 STRAWBERRY 	ORGANIC
27-Nov-23	1760	220	880	 $ 23.33 	 $ 5,133.33 	 STRAWBERRY 	ORGANIC
30-Nov-23	3800	475	1900	 $ 22.78 	 $ 10,819.44 	 STRAWBERRY 	ORGANIC
1-Dec-23	3600	450	1800	 $ 22.22 	 $ 10,000.00 	 STRAWBERRY 	ORGANIC
2-Dec-23	2480	310	1240	 $ 23.06 	 $ 7,147.22 	 STRAWBERRY 	ORGANIC
3-Dec-23	2160	270	1080	 $ 22.22 	 $ 6,000.00 	 STRAWBERRY 	ORGANIC
4-Dec-23	1880	235	940	 $ 22.22 	 $ 5,222.22 	 STRAWBERRY 	ORGANIC
5-Dec-23	2640	330	1320	 $ 25.00 	 $ 8,250.00 	 STRAWBERRY 	ORGANIC
6-Dec-23	2400	300	1200	 $ 24.80 	 $ 7,440.00 	 STRAWBERRY 	ORGANIC
7-Dec-23	2120	265	1060	 $ 25.50 	 $ 6,757.50 	 STRAWBERRY 	ORGANIC
8-Dec-23	3280	410	1640	 $ 21.11 	 $ 8,655.56 	 STRAWBERRY 	ORGANIC
9-Dec-23	3360	420	1680	 $ 21.67 	 $ 9,100.00 	 STRAWBERRY 	ORGANIC
10-Dec-23	2480	310	1240	 $ 21.39 	 $ 6,630.56 	 STRAWBERRY 	ORGANIC
11-Dec-23	1840	230	920	 $ 21.67 	 $ 4,983.33 	 STRAWBERRY 	ORGANIC
12-Dec-23	3920	490	1960	 $ 22.22 	 $ 10,888.89 	 STRAWBERRY 	ORGANIC
13-Dec-23	4240	530	2120	 $ 23.33 	 $ 12,366.67 	 STRAWBERRY 	ORGANIC
14-Dec-23	4120	515	2060	 $ 23.89 	 $ 12,302.78 	 STRAWBERRY 	ORGANIC
15-Dec-23	3400	425	1700	 $ 24.17 	 $ 10,270.83 	 STRAWBERRY 	ORGANIC
16-Dec-23	3200	400	1600	 $ 22.22 	 $ 8,888.89 	 STRAWBERRY 	ORGANIC
17-Dec-23	2640	330	1320	 $ 22.22 	 $ 7,333.33 	 STRAWBERRY 	ORGANIC
18-Dec-23	3600	450	1800	 $ 22.22 	 $ 10,000.00 	 STRAWBERRY 	ORGANIC
19-Dec-23	3960	495	1980	 $ 22.22 	 $ 11,000.00 	 STRAWBERRY 	ORGANIC
20-Dec-23	3360	420	1680	 $ 22.22 	 $ 9,333.33 	 STRAWBERRY 	ORGANIC
21-Dec-23	3200	400	1600	 $ 22.22 	 $ 8,888.89 	 STRAWBERRY 	ORGANIC
22-Dec-23	2480	310	1240	 $ 22.22 	 $ 6,888.89 	 STRAWBERRY 	ORGANIC
23-Dec-23	2000	250	1000	 $ 10.28 	 $ 2,569.44 	 STRAWBERRY 	CONVENTIONAL
24-Dec-23	3840	480	1920	 $ 10.56 	 $ 5,066.67 	 STRAWBERRY 	CONVENTIONAL
25-Dec-23	3808	476	1904	 $ 8.89 	 $ 4,231.11 	 STRAWBERRY 	CONVENTIONAL
26-Dec-23	3200	400	1600	 $ 8.89 	 $ 3,555.56 	 STRAWBERRY 	CONVENTIONAL
27-Dec-23	2400	300	1200	 $ 9.72 	 $ 2,916.67 	 STRAWBERRY 	CONVENTIONAL
28-Dec-23	1952	244	976	 $ 10.56 	 $ 2,575.56 	 STRAWBERRY 	CONVENTIONAL