Fecha,Ticket  Remito               Cosecha,Unnamed: 2,Muestra,Trapiche,Bruto,Trash,Unnamed: 7,Neto,Trash%,Brix,Pol,Pureza,Rdto,Azucar
2023-07-21,6693,0002-00001402 Mecanizada,227,Trapiche 1,41700,2502,,39198,6.0,17.44,14.99,85.95,9.48,3716
2023-07-22,6707,0002-00001403 Mecanizada,4,Trapiche 1,39900,2394,,37506,6.0,17.97,15.74,87.59,10.05,3769
2023-07-22,6748,0002-00001404 Mecanizada,37,Trapiche 1,38500,2310,,36190,6.0,18.17,15.79,86.9,10.04,3633
2023-07-22,6840,0002-00001405 Mecanizada,117,Trapiche 1,42440,2546,,39894,6.0,18.7,16.44,87.91,10.52,4197
2023-07-22,6852,0002-00001406 Mecanizada,130,Trapiche 1,45300,2718,,42582,6.0,18.26,15.98,87.51,10.2,4343
2023-07-22,6880,0002-00001408 Mecanizada,160,Trapiche 1,43640,2618,,41022,6.0,17.86,15.55,87.07,9.9,4061
2023-07-22,6917,0002-00001410 Mecanizada,204,Trapiche 1,40360,2422,,37938,6.0,18.56,15.66,84.38,9.81,3722
2023-07-22,6935,0002-00001411 Mecanizada,219,Trapiche 1,40260,2416,,37844,6.0,18.49,15.79,85.4,9.95,3765
2023-07-22,6943,0002-00001409 Mecanizada,227,Trapiche 1,40220,2413,,37807,6.0,18.24,15.75,86.35,9.98,3773
2023-07-23,6949,0002-00001412 Mecanizada,7,Trapiche 1,37660,2260,,35400,6.0,17.94,16.35,91.14,10.64,3767
2023-07-23,6989,0002-00001413 Mecanizada,51,Trapiche 1,45920,2755,,43165,6.0,17.18,14.59,84.92,9.17,3958
2023-07-23,6996,0002-00001414 Mecanizada,73,Trapiche 1,40740,2444,,38296,6.0,17.58,15.37,87.43,9.8,3753
2023-07-23,7005,0002-00001415 Mecanizada,84,Trapiche 1,44640,2678,,41962,6.0,17.78,15.35,86.33,9.73,4083
2023-07-23,7040,0002-00001417 Mecanizada,103,Trapiche 1,42520,2551,,39969,6.0,17.6,13.14,74.66,6.83,2730
2023-07-23,7054,0002-00001416 Mecanizada,126,Trapiche 1,45060,2704,,42356,6.0,16.54,14.58,88.15,9.34,3956
2023-07-23,7069,0002-00001418 Mecanizada,138,Trapiche 1,44040,2642,,41398,6.0,16.7,14.37,86.05,9.09,3763
2023-07-23,7091,0002-00001419 Mecanizada,170,Trapiche 1,36680,2201,,34479,6.0,18.08,15.95,88.22,10.22,3524
2023-07-24,7155,0002-00001420 Mecanizada,7,Trapiche 1,40620,2437,,38183,6.0,18.42,16.48,89.47,10.63,4059
2023-07-24,7165,0002-00001421 Mecanizada,8,Trapiche 1,42140,2528,,39612,6.0,18.27,16.31,89.27,10.51,4163
2023-07-24,7243,0002-00001422 Mecanizada,95,Trapiche 1,44760,2686,,42074,6.0,18.48,15.97,86.42,10.13,4262
2023-07-24,7247,0002-00001423 Mecanizada,131,Trapiche 1,44280,2657,,41623,6.0,18.02,15.21,84.41,9.53,3967
2023-07-24,7259,0002-00001425 Mecanizada,112,Trapiche 1,41920,2515,,39405,6.0,18.08,15.22,84.18,9.52,3751
2023-07-24,7277,0002-00001426 Mecanizada,133,Trapiche 1,42840,2570,,40270,6.0,19.18,17.53,91.4,11.43,4603
2023-07-24,7281,0002-00001424 Mecanizada,144,Trapiche 1,38880,2333,,36547,6.0,18.06,15.75,87.21,10.03,3666
2023-07-24,7351,0002-00001428 Mecanizada,199,Trapiche 1,37240,2234,,35006,6.0,15.58,13.0,83.44,8.06,2821
2023-07-25,7443,0002-00001429 Mecanizada,64,Trapiche 1,37160,2230,,34930,6.0,17.32,14.87,85.85,9.4,3283
2023-07-25,7450,0002-00001430 Mecanizada,72,Trapiche 1,37760,2266,,35494,6.0,18.12,15.73,86.81,10.0,3549
2023-07-25,7464,0002-00001431 Mecanizada,91,Trapiche 1,39560,2374,,37186,6.0,18.08,15.24,84.29,9.54,3548
2023-07-25,7505,0002-00001433 Mecanizada,144,Trapiche 1,39820,2389,,37431,6.0,18.3,16.18,88.42,10.38,3885
2023-07-25,7524,0002-00001434 Mecanizada,162,Trapiche 1,41040,2462,,38578,6.0,16.54,13.48,81.5,8.06,3109
2023-07-25,7544,0002-00001436 Mecanizada,167,Trapiche 1,33760,2026,,31734,6.0,18.22,16.2,88.91,10.42,3307
2023-07-26,7594,0002-00001435 Mecanizada,13,Trapiche 1,37220,2233,,34987,6.0,18.86,16.58,87.91,10.6,3709
2023-07-26,7644,0002-00001437 Mecanizada,76,Trapiche 1,43600,2616,,40984,6.0,17.27,15.54,89.98,10.05,4119
2023-07-26,7669,0002-00001438 Mecanizada,106,Trapiche 1,43480,2609,,40871,6.0,18.38,14.99,81.56,8.98,3670
2023-07-26,7673,0002-00001439 Mecanizada,116,Trapiche 1,43000,2580,,40420,6.0,18.22,16.19,88.86,10.41,4208
2023-07-26,7698,0002-00001440 Mecanizada,138,Trapiche 1,42780,2567,,40213,6.0,18.0,16.34,90.78,10.62,4271
2023-07-26,7731,0002-00001441 Mecanizada,156,Trapiche 1,46440,2786,,43654,6.0,18.16,15.69,86.4,9.95,4344
2023-07-26,7780,0002-00001443 Mecanizada,194,Trapiche 1,39240,2354,,36886,6.0,16.94,15.17,89.55,9.79,3611
2023-07-27,7826,0002-00001444 Mecanizada,45,Trapiche 1,43060,2584,,40476,6.0,17.46,15.75,90.21,10.2,4129
2023-07-27,7830,0002-00001445 Mecanizada,50,Trapiche 1,37840,2270,,35570,6.0,18.07,15.71,86.94,9.99,3553
2023-07-27,7867,0001-00001446 Mecanizada,80,Trapiche 1,42980,2579,,40401,6.0,17.02,14.34,84.25,8.97,3624
2023-07-27,7884,0002-00001447 Mecanizada,104,Trapiche 1,41540,2492,,39048,6.0,17.5,15.88,90.74,10.31,4026
2023-07-27,7894,0002-00001448 Mecanizada,115,Trapiche 1,37220,2233,,34987,6.0,18.5,15.56,84.11,9.73,3404
2023-07-27,7924,0002-00001450 Mecanizada,142,Trapiche 1,45200,2712,,42488,6.0,17.7,15.5,87.57,9.89,4202
2023-07-27,7935,0002-00001451 Mecanizada,162,Trapiche 1,39800,2388,,37412,6.0,18.06,15.62,86.49,9.91,3708
2023-07-27,7947,0002-00001453 Mecanizada,172,Trapiche 1,46340,2780,,43560,6.0,17.9,15.84,88.49,10.16,4426
2023-07-27,7965,0002-00001442 Mecanizada,198,Trapiche 1,42480,2549,,39931,6.0,18.12,15.88,87.64,10.14,4049
2023-07-28,8063,0002-00001455 Mecanizada,61,Trapiche 1,43160,2590,,40570,6.0,17.52,15.78,90.07,10.21,4142
2023-07-28,8070,0002-00001456 Mecanizada,73,Trapiche 1,39360,2362,,36998,6.0,16.26,14.27,87.76,9.12,3374
2023-07-28,8113,0002-00001457 Mecanizada,109,Trapiche 1,45900,2754,,43146,6.0,18.19,15.33,84.28,9.6,4142
2023-07-28,8169,0002-00001459 Mecanizada,175,Trapiche 1,37960,2278,,35682,6.0,18.06,15.52,85.94,9.81,3500
2023-07-28,8176,0002-00001460 Mecanizada,187,Trapiche 1,38440,2306,,36134,6.0,16.8,14.82,88.21,9.5,3433
2023-07-28,8188,0002-00001458 Mecanizada,206,Trapiche 1,39760,2386,,37374,6.0,17.77,15.97,89.87,10.33,3861
2023-07-29,8215,0002-00001462 Mecanizada,3,Trapiche 1,36100,2166,,33934,6.0,18.02,15.81,87.74,10.1,3427
2023-07-29,8247,0002-00001463 Mecanizada,23,Trapiche 1,36040,2162,,33878,6.0,18.92,16.55,87.47,10.56,3578
2023-07-29,8290,0002-00001466 Mecanizada,63,Trapiche 1,39820,2389,,37431,6.0,17.92,15.63,87.22,9.96,3728
2023-07-29,8301,0002-00001464 Mecanizada,75,Trapiche 1,39760,2386,,37374,6.0,17.97,15.27,84.97,9.6,3588
2023-07-29,8310,0002-00001467 Mecanizada,87,Trapiche 1,37200,2232,,34968,6.0,17.64,15.37,87.13,9.79,3423
2023-07-29,8319,0002-00001468 Mecanizada,103,Trapiche 1,42760,2566,,40194,6.0,18.19,15.08,82.9,9.26,3722
2023-07-29,8347,0002-00001452 Mecanizada,129,Trapiche 1,46220,2773,,43447,6.0,17.66,15.04,85.16,9.47,4114
2023-07-29,8351,0002-00001469 Mecanizada,136,Trapiche 1,52660,3160,,49500,6.0,17.82,14.79,83.0,9.1,4505
2023-07-29,8369,0002-00001470 Mecanizada,154,Trapiche 1,42260,2536,,39724,6.0,17.19,16.59,96.51,11.08,4401
2023-07-29,8381,0002-00001471 Mecanizada,170,Trapiche 1,45440,2726,,42714,6.0,17.82,15.62,87.65,9.98,4263
2023-07-29,8423,0002-00001473 Mecanizada,213,Trapiche 1,42460,2548,,39912,6.0,16.97,15.59,91.87,10.19,4067
2023-07-30,8449,0002-00001475 Mecanizada,10,Trapiche 1,46520,2791,,43729,6.0,18.12,15.81,87.25,10.07,4404
2023-07-30,8494,0002-00001476 Mecanizada,64,Trapiche 1,33880,2033,,31847,6.0,18.57,16.15,86.97,10.27,3271
2023-07-30,8521,0002-00001478 Mecanizada,95,Trapiche 1,32280,1937,,30343,6.0,18.0,15.57,86.5,9.88,2998
2023-07-30,8526,0002-00001479 Mecanizada,104,Trapiche 1,42100,2526,,39574,6.0,18.36,16.0,87.15,10.19,4033
2023-07-30,8551,0002-00001480 Mecanizada,122,Trapiche 1,34500,2070,,32430,6.0,18.16,15.92,87.67,10.17,3298
2023-07-30,8618,0002-00001481 Mecanizada,192,Trapiche 1,38880,2333,,36547,6.0,18.24,16.17,88.65,10.39,3797
2023-07-31,8655,0002-00001482 Mecanizada,2,Trapiche 1,39200,2352,,36848,6.0,19.02,16.74,88.01,10.71,3946
2023-07-31,8705,0002-00001483 Mecanizada,58,Trapiche 1,42700,2562,,40138,6.0,18.52,15.64,84.45,9.8,3934
2023-07-31,8714,0002-00001484 Mecanizada,67,Trapiche 1,43260,2596,,40664,6.0,18.38,15.74,85.64,9.93,4038
2023-07-31,8742,0002-00001485 Mecanizada,98,Trapiche 1,41080,2465,,38615,6.0,17.99,15.55,86.44,9.86,3807
2023-07-31,8759,0002-00001486 Mecanizada,108,Trapiche 1,44700,2682,,42018,6.0,17.26,15.05,87.2,9.59,4030
2023-07-31,8772,0002-00001487 Mecanizada,131,Trapiche 1,44880,2693,,42187,6.0,17.56,15.08,85.88,9.53,4020
2023-07-31,8798,0002-00001489 Mecanizada,147,Trapiche 1,40840,2450,,38390,6.0,18.56,16.29,87.77,10.41,3996
2023-07-31,8823,0002-00001490 Mecanizada,175,Trapiche 1,42940,2576,,40364,6.0,18.5,16.57,89.57,10.7,4319
2023-07-31,8839,0002-00001492 Mecanizada,188,Trapiche 1,46500,2790,,43710,6.0,18.14,16.55,91.23,10.78,4712
2023-08-01,8860,0002-00001491 Mecanizada,8,Trapiche 1,39940,5260,,34680,13.17,18.18,16.01,88.06,10.19,3534
2023-08-01,8861,0002-00001493 Mecanizada,9,Trapiche 1,44520,5863,,38657,13.17,17.98,15.49,86.15,9.75,3769
2023-08-01,8922,0002-00001495 Mecanizada,68,Trapiche 1,41240,5431,,35809,13.17,17.46,15.28,87.51,9.69,3470
2023-08-01,8930,0002-00001496 Mecanizada,80,Trapiche 1,39900,5359,,34541,13.43,18.29,15.87,86.77,10.02,3461
2023-08-01,8960,0002-00001498 Mecanizada,128,Trapiche 1,45040,6049,,38991,13.43,18.04,15.18,84.15,9.43,3677
2023-08-01,8974,0002-00001497 Mecanizada,141,Trapiche 1,38040,5109,,32931,13.43,18.54,15.96,86.08,10.04,3306
2023-08-01,8982,0002-00001499 Mecanizada,157,Trapiche 1,44440,5968,,38472,13.43,18.69,16.33,87.37,10.35,3982
2023-08-01,8999,0002-00001501 Mecanizada,161,Trapiche 1,41520,5751,,35769,13.85,18.2,15.99,87.86,10.16,3634
2023-08-01,9001,0002-00001502 Mecanizada,167,Trapiche 1,47900,6634,,41266,13.85,18.5,15.87,85.78,9.96,4110
2023-08-01,9026,0002-00001500 Mecanizada,180,Trapiche 1,39860,5521,,34339,13.85,17.99,15.3,85.05,9.56,3283
2023-08-01,9035,0002-00001503 Mecanizada,188,Trapiche 1,41080,5690,,35390,13.85,18.32,16.1,87.88,10.23,3620
2023-08-01,9047,0002-00001505 Mecanizada,198,Trapiche 1,38640,4981,,33659,12.89,18.66,16.57,88.8,10.59,3564
2023-08-02,9082,0002-00001506 Mecanizada,19,Trapiche 1,42280,5450,,36830,12.89,18.32,15.84,86.46,9.98,3676
2023-08-02,9086,0002-00001507 Mecanizada,27,Trapiche 1,36180,4664,,31516,12.89,18.18,16.12,88.67,10.29,3243
2023-08-02,9092,0002-00001508 Mecanizada,34,Trapiche 1,42080,5424,,36656,12.89,18.4,16.19,87.99,10.3,3776
2023-08-02,9139,0002-00001504 Mecanizada,83,Trapiche 1,35180,5365,,29815,15.25,16.96,14.67,86.5,9.25,2758
2023-08-02,9149,0002-00001509 Mecanizada,93,Trapiche 1,41980,6402,,35578,15.25,18.19,16.27,89.44,10.43,3711
2023-08-02,9172,0002-00001510 Mecanizada,117,Trapiche 1,39220,5981,,33239,15.25,18.78,17.07,90.89,11.03,3666
2023-08-02,9177,0002-00001511 Mecanizada,126,Trapiche 1,33980,5182,,28798,15.25,18.88,16.85,89.25,10.79,3107
2023-08-02,9182,0002-00001512 Mecanizada,127,Trapiche 1,40620,5207,,35413,12.82,18.38,16.52,89.88,10.62,3761
2023-08-02,9218,0002-00001514 Mecanizada,167,Trapiche 1,48500,6218,,42282,12.82,18.59,16.42,88.33,10.46,4423
2023-08-02,9233,0002-00001515 Mecanizada,177,Trapiche 1,49400,6333,,43067,12.82,16.16,13.95,86.32,8.79,3786
2023-08-03,9291,0002-00001516 Mecanizada,36,Trapiche 1,39080,5229,,33851,13.38,19.46,17.74,91.16,11.48,3886
2023-08-03,9303,0002-00001517 Mecanizada,48,Trapiche 1,44540,5959,,38581,13.38,18.6,16.76,90.11,10.78,4159
2023-08-03,9316,0002-00001518 Mecanizada,64,Trapiche 1,49780,6661,,43119,13.38,18.8,17.01,90.48,10.96,4726
2023-08-03,9343,0002-00001519 Mecanizada,100,Trapiche 1,43380,5804,,37576,13.38,19.46,17.16,88.18,10.92,4103
2023-08-03,9359,0002-00001520 Mecanizada,115,Trapiche 1,46920,6100,,40820,13.0,18.12,15.99,88.25,10.18,4155
2023-08-03,9373,0002-00001521 Mecanizada,125,Trapiche 1,44900,5837,,39063,13.0,18.6,16.48,88.6,10.52,4109
2023-08-03,9381,0002-00001523 Mecanizada,138,Trapiche 1,44620,5801,,38819,13.0,18.3,16.24,88.74,10.37,4026
2023-08-03,9397,0002-00001522 Mecanizada,149,Trapiche 1,50860,6612,,44248,13.0,18.42,15.94,86.54,10.05,4447
2023-08-03,9451,0002-00001524 Mecanizada,200,Trapiche 1,38580,5347,,33233,13.86,17.64,16.36,92.74,10.67,3546
2023-08-04,9468,0002-00001525 Mecanizada,11,Trapiche 1,48800,6764,,42036,13.86,18.42,15.76,85.56,9.88,4153
2023-08-04,9479,0002-00001526 Mecanizada,21,Trapiche 1,43600,6043,,37557,13.86,18.38,16.28,88.57,10.39,3902
2023-08-04,9490,0002-00001532 Mecanizada,45,Trapiche 1,47300,6556,,40744,13.86,18.74,16.8,89.65,10.78,4392
2023-08-04,9545,0002-00001533 Mecanizada,90,Trapiche 1,45760,6772,,38988,14.8,18.24,15.88,87.06,10.04,3914
2023-08-04,9559,0002-00001535 Mecanizada,103,Trapiche 1,41140,6089,,35051,14.8,17.94,15.72,87.63,9.98,3498
2023-08-04,9562,0002-00001536 Mecanizada,110,Trapiche 1,45480,6731,,38749,14.8,18.26,16.22,88.83,10.36,4014
2023-08-04,9563,0002-00001537 Mecanizada,111,Trapiche 1,46280,6849,,39431,14.8,17.72,15.03,84.82,9.38,3699
2023-08-04,9588,0002-00001538 Mecanizada,131,Trapiche 1,45680,6546,,39134,14.33,18.8,16.56,88.09,10.54,4125
2023-08-04,9605,0002-00001539 Mecanizada,144,Trapiche 1,45780,6560,,39220,14.33,18.46,16.07,87.05,10.16,3985
2023-08-04,9612,0002-00001540 Mecanizada,165,Trapiche 1,42120,6036,,36084,14.33,18.9,16.35,86.51,10.31,3720
2023-08-04,9652,0002-00001541 Mecanizada,191,Trapiche 1,41680,5973,,35707,14.33,18.5,15.31,82.76,9.32,3328
2023-08-04,9667,0002-00001544 Mecanizada,203,Trapiche 1,45120,5857,,39263,12.98,19.1,17.22,90.16,11.08,4350
2023-08-04,9668,0002-00001545 Mecanizada,204,Trapiche 1,47980,6228,,41752,12.98,19.12,16.94,88.6,10.81,4513
2023-08-04,9684,0002-00001542 Mecanizada,215,Trapiche 1,46500,6036,,40464,12.98,18.2,16.43,90.27,10.58,4281
2023-08-05,9694,0002-00001530 Mecanizada,5,Trapiche 1,39300,5101,,34199,12.98,18.56,16.27,87.66,10.33,3533
2023-08-05,9730,0002-00001531 Mecanizada,60,Trapiche 1,38300,5036,,33264,13.15,18.54,17.15,92.5,11.17,3716
2023-08-05,9767,0002-00001534 Mecanizada,91,Trapiche 1,40320,5302,,35018,13.15,19.59,17.32,88.41,11.04,3866
2023-08-05,9772,0002-00001543 Mecanizada,100,Trapiche 1,42800,5628,,37172,13.15,18.06,15.27,84.55,9.51,3535
2023-08-05,9782,0002-00001546 Mecanizada,104,Trapiche 1,36860,4847,,32013,13.15,18.32,16.26,88.76,10.38,3323
2023-08-05,9791,0002-00001547 Mecanizada,114,Trapiche 1,45180,6420,,38760,14.21,18.26,15.79,86.47,9.95,3857
2023-08-05,9822,0002-00001552 Mecanizada,153,Trapiche 1,46440,6599,,39841,14.21,19.02,16.49,86.7,10.41,4147
2023-08-05,9865,0002-00001548 Mecanizada,206,Trapiche 1,41880,5951,,35929,14.21,18.74,16.46,87.83,10.46,3758
2023-08-06,9901,0002-00001554 Mecanizada,13,Trapiche 1,39700,5451,,34249,13.73,20.22,17.85,88.28,11.37,3894
2023-08-06,9943,0002-00001553 Mecanizada,64,Trapiche 1,44880,6162,,38718,13.73,17.82,15.46,86.76,9.76,3779
2023-08-06,9953,0002-00001550 Mecanizada,72,Trapiche 1,40420,5550,,34870,13.73,19.08,16.92,88.68,10.8,3766
2023-08-06,9980,0002-00001556 Mecanizada,101,Trapiche 1,37920,5206,,32714,13.73,18.66,16.55,88.69,10.57,3458
2023-08-06,9983,0002-00001555 Mecanizada,107,Trapiche 1,43280,6016,,37264,13.9,18.66,16.31,87.41,10.34,3853
2023-08-06,10035,0002-00001557 Mecanizada,168,Trapiche 1,39400,5477,,33923,13.9,19.0,17.09,89.95,10.99,3728
2023-08-06,10041,0002-00001559 Mecanizada,170,Trapiche 1,43420,6035,,37385,13.9,18.64,15.98,85.73,10.03,3750
2023-08-06,10049,0002-00001558 Mecanizada,192,Trapiche 1,40320,5604,,34716,13.9,18.16,15.94,87.78,10.12,3513
2023-08-06,10077,0002-00001560 Mecanizada,199,Trapiche 1,47520,6239,,41281,13.13,18.62,16.03,86.09,10.08,4161
2023-08-07,10145,0002-00001562 Mecanizada,61,Trapiche 1,35660,4682,,30978,13.13,18.3,16.36,89.4,10.49,3250
2023-08-07,10147,0002-00001565 Mecanizada,62,Trapiche 1,41540,5454,,36086,13.13,18.1,16.26,89.83,10.45,3771
2023-08-07,10165,0002-00001561 Mecanizada,89,Trapiche 1,44180,5801,,38379,13.13,18.1,15.89,87.79,10.09,3872
2023-08-07,10188,0002-00001566 Mecanizada,100,Trapiche 1,47060,5774,,41286,12.27,17.76,16.05,90.37,10.34,4269
2023-08-07,10193,0002-00001567 Mecanizada,111,Trapiche 1,43680,5360,,38320,12.27,18.2,15.32,84.18,9.52,3648
2023-08-07,10245,0002-00001569 Mecanizada,149,Trapiche 1,46060,5652,,40408,12.27,18.32,16.02,87.45,10.16,4105
2023-08-07,10281,0002-00001570 Mecanizada,192,Trapiche 1,46040,5649,,40391,12.27,18.34,16.47,89.8,10.58,4273
2023-08-08,10305,0002-00001572 Mecanizada,4,Trapiche 1,45400,6152,,39248,13.55,18.32,16.55,90.34,10.66,4184
2023-08-08,10318,0002-00001573 Mecanizada,16,Trapiche 1,43720,5924,,37796,13.55,17.47,15.43,88.32,9.83,3715
2023-08-08,10368,0002-00001574 Mecanizada,61,Trapiche 1,46820,6344,,40476,13.55,18.26,16.3,89.27,10.44,4226
2023-08-08,10375,0002-00001575 Mecanizada,44,Trapiche 1,42080,5702,,36378,13.55,17.52,15.58,88.93,9.96,3623
2023-08-08,10390,0002-00001576 Mecanizada,97,Trapiche 1,48920,6462,,42458,13.21,18.66,16.84,90.25,10.84,4602
2023-08-08,10398,0002-00001577 Mecanizada,99,Trapiche 1,41120,5432,,35688,13.21,18.37,16.26,88.51,10.37,3701
2023-08-08,10408,0002-00001578 Mecanizada,110,Trapiche 1,41360,5464,,35896,13.21,17.72,16.11,90.91,10.41,3737
2023-08-08,10414,0002-00001579 Mecanizada,112,Trapiche 1,34320,4534,,29786,13.21,18.24,16.28,89.25,10.43,3107
2023-08-08,10428,0002-00001580 Mecanizada,125,Trapiche 1,44000,6046,,37954,13.74,18.22,16.18,88.8,10.34,3924
2023-08-08,10442,0002-00001581 Mecanizada,140,Trapiche 1,48560,6672,,41888,13.74,18.26,16.38,89.7,10.52,4407
2023-08-08,10459,0002-00001582 Mecanizada,156,Trapiche 1,45180,6208,,38972,13.74,17.8,15.88,89.21,10.17,3963
2023-08-08,10460,0002-00001583 Mecanizada,157,Trapiche 1,40040,5501,,34539,13.74,18.26,16.63,91.07,10.75,3713
2023-08-08,10491,0002-00001584 Mecanizada,178,Trapiche 1,44720,6095,,38625,13.63,17.17,15.72,91.56,10.19,3936
2023-08-08,10505,0002-00001585 Mecanizada,193,Trapiche 1,39440,5376,,34064,13.63,18.42,15.84,85.99,9.96,3393
2023-08-08,10509,0002-00001587 Mecanizada,194,Trapiche 1,40620,5537,,35083,13.63,18.26,16.43,89.98,10.56,3705
2023-08-08,10520,0002-00001590 Mecanizada,208,Trapiche 1,44800,6106,,38694,13.63,18.66,16.62,89.07,10.63,4113
2023-08-09,10524,0002-00001588 Mecanizada,5,Trapiche 1,42400,5758,,36642,13.58,17.57,15.68,89.24,10.04,3679
2023-08-09,10537,0002-00001589 Mecanizada,8,Trapiche 1,37020,5027,,31993,13.58,17.67,16.05,90.83,10.37,3318
2023-08-09,10552,0002-00001591 Mecanizada,32,Trapiche 1,44220,6005,,38215,13.58,19.72,17.98,91.18,11.63,4444
2023-08-09,10561,0002-00001592 Mecanizada,42,Trapiche 1,42760,5764,,36996,13.48,18.87,16.47,87.28,10.43,3859
2023-08-09,10577,0002-00001594 Mecanizada,53,Trapiche 1,43580,5875,,37705,13.48,19.07,16.74,87.78,10.63,4008
2023-08-09,10580,0002-00001597 Mecanizada,55,Trapiche 1,39620,5341,,34279,13.48,18.12,16.04,88.52,10.23,3507
2023-08-09,10588,0002-00001593 Mecanizada,66,Trapiche 1,41020,5529,,35491,13.48,18.67,16.42,87.95,10.44,3705
2023-08-09,10595,0002-00001595 Mecanizada,81,Trapiche 1,42060,5573,,36487,13.25,18.22,16.53,90.72,10.67,3893
2023-08-09,10601,0002-00001596 Mecanizada,83,Trapiche 1,39080,5178,,33902,13.25,18.12,16.31,90.01,10.49,3556
2023-08-09,10604,0002-00001598 Mecanizada,92,Trapiche 1,55020,7290,,47730,13.25,19.78,16.58,83.82,10.28,4907
2023-08-09,10613,0002-00001599 Mecanizada,105,Trapiche 1,51540,6829,,44711,13.25,18.78,16.62,88.5,10.6,4739
2023-08-09,10620,0002-00001600 Mecanizada,108,Trapiche 1,46360,6101,,40259,13.16,18.16,16.3,89.76,10.47,4215
2023-08-09,10624,0002-00001564 Mecanizada,109,Trapiche 1,46220,6083,,40137,13.16,18.32,16.17,88.26,10.3,4134
2023-08-09,10636,0002-00001563 Mecanizada,125,Trapiche 1,50540,6651,,43889,13.16,19.09,16.63,87.11,10.52,4617
2023-08-09,10639,0002-00001571 Mecanizada,126,Trapiche 1,45540,5993,,39547,13.16,17.99,15.47,85.99,9.72,3844
2023-08-09,10647,0002-00001551 Mecanizada,129,Trapiche 1,41280,5870,,35410,14.22,18.36,16.51,89.92,10.61,3757
2023-08-09,10668,0002-00001602 Mecanizada,159,Trapiche 1,56700,8063,,48637,14.22,18.56,16.65,89.71,10.69,5199
2023-08-09,10672,0002-00001601 Mecanizada,160,Trapiche 1,46740,6646,,40094,14.22,17.44,15.34,87.96,9.75,3909
2023-08-09,10683,0002-00001603 Mecanizada,163,Trapiche 1,44720,6359,,38361,14.22,18.68,16.57,88.7,10.58,4059
2023-08-09,10695,0002-00001605 Mecanizada,182,Trapiche 1,47660,6201,,41459,13.01,18.02,15.77,87.51,10.0,4146
2023-08-09,10700,0002-00001604 Mecanizada,184,Trapiche 1,42360,5511,,36849,13.01,17.38,15.4,88.61,9.83,3622
2023-08-10,10726,0002-00001607 Mecanizada,3,Trapiche 1,37220,4842,,32378,13.01,17.72,16.09,90.8,10.39,3364
2023-08-10,10735,0002-00001609 Mecanizada,19,Trapiche 1,48600,6323,,42277,13.01,18.66,16.04,85.96,10.08,4262
2023-08-10,10737,0002-00001606 Mecanizada,23,Trapiche 1,49920,6465,,43455,12.95,18.77,16.23,86.47,10.23,4445
2023-08-10,10739,0002-00001608 Mecanizada,21,Trapiche 1,34480,4465,,30015,12.95,18.52,16.26,87.8,10.33,3101
2023-08-10,10751,0002-00001611 Mecanizada,43,Trapiche 1,41460,5369,,36091,12.95,18.82,16.8,89.27,10.76,3883
2023-08-10,10761,0002-00001610 Mecanizada,46,Trapiche 1,42500,5504,,36996,12.95,19.32,17.41,90.11,11.2,4144
2023-08-10,10768,0002-00001612 Mecanizada,55,Trapiche 1,46840,5911,,40929,12.62,18.86,16.73,88.71,10.68,4371
2023-08-10,10773,0002-00001618 Mecanizada,57,Trapiche 1,39140,4939,,34201,12.62,18.32,16.18,88.32,10.31,3526
2023-08-10,10775,0002-00001613 Mecanizada,67,Trapiche 1,46180,5828,,40352,12.62,18.27,16.06,87.9,10.21,4120
2023-08-10,10787,0002-00001615 Mecanizada,71,Trapiche 1,40940,5167,,35773,12.62,18.57,16.72,90.04,10.75,3846
2023-08-10,10802,0002-00001616 Mecanizada,88,Trapiche 1,41640,4893,,36747,11.75,19.02,17.27,90.8,11.15,4097
2023-08-10,10810,0002-00001614 Mecanizada,90,Trapiche 1,38460,4519,,33941,11.75,19.04,16.89,88.71,10.78,3659
2023-08-10,10811,0002-00001617 Mecanizada,91,Trapiche 1,45640,5363,,40277,11.75,19.0,16.89,88.89,10.79,4346
